AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1082101,10821,BAL,Friendship International,"Baltimore, MD",35,United States,US,Maryland,MD,24.0,30852,"Washington, DC (Metropolitan Area)",32,39.0,N,10.0,32.0,39.17555556,76.0,W,40.0,17.0,-76.67138889,7/1/1950 12:00:00 AM,3/31/1981 12:00:00 AM,0,0
1082102,10821,BWI,Baltimore/Washington International,"Baltimore, MD",35,United States,US,Maryland,MD,24.0,30852,"Washington, DC (Metropolitan Area)",32,39.0,N,10.0,30.0,39.175,76.0,W,40.0,12.0,-76.67,4/1/1981 12:00:00 AM,9/30/2005 12:00:00 AM,0,0
1082301,10823,BWM,Bowman County,"Bowman, ND",66,United States,US,North Dakota,ND,38.0,30823,"Bowman, ND",66,46.0,N,11.0,15.0,46.1875,103.0,W,25.0,15.0,-103.42083333,6/1/1977 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1082501,10825,BWS,Blaine Municipal,"Blaine, WA",93,United States,US,Washington,WA,53.0,30825,"Blaine, WA",93,48.0,N,59.0,23.0,48.98972222,122.0,W,43.0,50.0,-122.73055556,12/1/1989 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1082801,10828,BXC,Sheraton Inn Heliport,"Boxborough, MA",13,United States,US,Massachusetts,MA,25.0,30828,"Boxborough, MA",13,42.0,N,29.0,5.0,42.48472222,71.0,W,32.0,40.0,-71.54444444,3/1/1988 12:00:00 AM,,0,1
1083201,10832,BXS,Borrego Valley,"Borrego Springs, CA",91,United States,US,California,CA,6.0,30832,"Borrego Springs, CA",91,33.0,N,15.0,35.0,33.25972222,116.0,W,19.0,20.0,-116.32222222,3/1/1978 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1083401,10834,BYA,Boundary Airport,"Boundary, AK",1,United States,US,Alaska,AK,2.0,30834,"Boundary, AK",1,64.0,N,4.0,35.0,64.07638889,141.0,W,6.0,52.0,-141.11444444,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1083601,10836,RKH,Rock Hill/York County/Bryant Field,"Rock Hill, SC",37,United States,US,South Carolina,SC,45.0,30836,"Rock Hill, SC",37,34.0,N,59.0,16.0,34.98777778,81.0,W,3.0,26.0,-81.05722222,6/1/1978 12:00:00 AM,,0,1
1083701,10837,BYG,Johnson County,"Buffalo, WY",88,United States,US,Wyoming,WY,56.0,30837,"Buffalo, WY",88,44.0,N,22.0,53.0,44.38138889,106.0,W,43.0,16.0,-106.72111111,3/1/1991 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1083801,10838,BYH,Blytheville AFB,"Blytheville, AR",71,United States,US,Arkansas,AR,5.0,30838,"Blytheville, AR",71,35.0,N,57.0,51.0,35.96416667,89.0,W,56.0,45.0,-89.94583333,1/1/1950 12:00:00 AM,12/31/1992 12:00:00 AM,0,0
1083901,10839,BYI,Burley Municipal,"Burley/Rupert, ID",83,United States,US,Idaho,ID,16.0,30839,"Burley/Rupert, ID",83,42.0,N,32.0,29.0,42.54138889,113.0,W,46.0,27.0,-113.77416667,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1084101,10841,MI5,Boyne Mountain,"Boyne Falls, MI",43,United States,US,Michigan,MI,26.0,30841,"Boyne Falls, MI",43,45.0,N,9.0,57.0,45.16583333,84.0,W,55.0,27.0,-84.92416667,10/1/1971 12:00:00 AM,,0,1
1084401,10844,BYW,Blakely Island Airport,"Blakely Island, WA",93,United States,US,Washington,WA,53.0,30844,"Blakely Island, WA",93,48.0,N,34.0,45.0,48.57916667,122.0,W,49.0,30.0,-122.825,3/1/1982 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1084901,10849,BZN,Gallatin Field,"Bozeman, MT",84,United States,US,Montana,MT,30.0,30849,"Bozeman, MT",84,45.0,N,46.0,49.0,45.78027778,111.0,W,9.0,34.0,-111.15944444,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1085301,10853,BZT,Eagle Air Park,"Brazoria, TX",74,United States,US,Texas,TX,48.0,30853,"Brazoria, TX",74,28.0,N,58.0,56.0,28.98222222,95.0,W,34.0,47.0,-95.57972222,1/1/1990 12:00:00 AM,,0,1
1085701,10857,C01,Camarillo Airport,"Camarillo, CA",91,United States,US,California,CA,6.0,30857,"Camarillo, CA",91,34.0,N,12.0,50.0,34.21388889,119.0,W,5.0,40.0,-119.09444444,12/1/2002 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1085801,10858,C02,Bakersfield Municipal,"Bakersfield, CA",91,United States,US,California,CA,6.0,30561,"Bakersfield, CA",91,35.0,N,19.0,29.0,35.32472222,118.0,W,59.0,45.0,-118.99583333,1/1/2005 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1086701,10867,CAD,Wexford County,"Cadillac, MI",43,United States,US,Michigan,MI,26.0,30867,"Cadillac, MI",43,44.0,N,16.0,33.0,44.27583333,85.0,W,25.0,9.0,-85.41916667,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1086801,10868,CAE,Columbia Metropolitan,"Columbia, SC",37,United States,US,South Carolina,SC,45.0,30868,"Columbia, SC",37,33.0,N,56.0,11.0,33.93638889,81.0,W,6.0,57.0,-81.11583333,1/1/1950 12:00:00 AM,8/31/1992 12:00:00 AM,0,0
